status,product_area,response,justification,request_type
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"escalated","billing/financial","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves billing, payment disputes, or refund requests — requires human financial review.","billing"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
