issue,subject,company,response,product_area,status,request_type,justification
"I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.","Test Active in the system","hackerrank","","HackerRank Tests","escalated","product_issue","No relevant corpus snippets found to answer the user's inquiry about HackerRank test active duration; escalating per rule 2 due to insufficient information."
"site is down & none of the pages are accessible","","unknown","We have escalated your report of a service outage to our engineering team. We apologize for the inconvenience and are working to resolve this as quickly as possible.","outage","escalated","bug","Ticket reports a complete service outage affecting all users — escalated to engineering/ops team."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?","hackerrank","Thank you for contacting HackerRank Support. We do not have sufficient information available to answer your question about when to create a new test versus a test variant, or the advantages and disadvantages of using variants. Your ticket is being escalated to a specialized team for further assistance.","Test Creation","escalated","product_issue","No relevant corpus snippets were found to address the user's inquiry about HackerRank test creation best practices, so the ticket is escalated per rule 2 requiring escalation when snippets lack enough info to answer safely."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time","hackerrank","If a candidate experiences an issue such as a power outage or loss of internet connection, you can reinvite them to retake the test at any time.","Screen > Invite Candidates","escalated","product_issue","Corpus snippets only confirm candidates can be reinvited for test retakes in case of connectivity or power issues, but lack information on adding extra time to assessments, step-by-step reinvite instructions, or verifying assessment duration in invitation emails. Insufficient info to answer safely, so escalated."
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
","","hackerrank","You can find information on deleting your HackerRank account in our Manage Account FAQs article, which covers account deletion: https://help.hackerrank.com/articles/1917106962-manage-account-faqs.","Manage Account","escalated","product_issue","The user requests account deletion, a high-risk account access issue per rule 3, and the corpus lacks sufficient info on deleting accounts for Google Auth users to answer safely."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?","","claude","","Claude Privacy","escalated","product_issue","No relevant corpus snippets are available to address the user's query about deleting a Claude conversation containing private information, and the issue involves potential private data exposure, so escalation is required."
"What is the name of the actor in Iron Man?","Urgent, please help","unknown","Thank you for contacting our support team. We only provide assistance for HackerRank, Claude (by Anthropic), and Visa products. Unfortunately, we are unable to assist with your inquiry as it is unrelated to our supported products. If you have a question related to any of our supported products, please feel free to reach out again.","out_of_scope","replied","invalid","The request is a general knowledge question unrelated to the supported products, with no relevant corpus snippets available. This is an out-of-scope request, so marked as invalid and replied."
"I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?","","visa","We are sorry to hear your Visa Traveller's Cheques were stolen. You can report a lost cheque and request a refund by contacting us via our traveller’s cheques contact page at https://www.visa.co.in/supporting-info/travelers-cheques-contact-us.html. For more information, visit our Visa Traveller's Cheques for Consumers page at https://www.visa.co.in/support/consumer/travelers-cheques.html.","Visa Traveller's Cheques","escalated","product_issue","The ticket involves stolen Visa Traveller's Cheques, a fraud-related high-risk issue requiring escalation per rule 3. Corpus snippets only reference reporting lost cheques and contacting support via a dedicated page, but lack full instructions for stolen cheques, necessitating escalation."
"Where can I report a lost or stolen Visa card from India?","Card stolen","visa","Travel with Visa and you’ll have our tools, support and guidance every step of the way. Visit today to learn more about using Visa on your next adventure. https://www.visa.co.in/support/consumer/travel-support.html","travel-support","escalated","product_issue","The corpus lacks information on reporting lost or stolen Visa cards in India. The issue involves fraud (stolen card), a high-risk ticket requiring escalation per rule 3."
"Thank you for helping me","","unknown","","Unknown","escalated","invalid","No relevant corpus snippets are available to address this ticket, and the ticket lacks context about the related product or prior support interaction, sothere is insufficient information to safely respond or categorize the request per rule 2."
